partNo,boltType,standard,certification,surfaceFinish,brand,industryStandard,material,threadSize,length,grade,description
400181,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4181,Alloy steel,M12,45,Grade 64,Flange bolt M12 45mm
400182,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.20,Brass,M10,70,Grade 67,U-bolt M10 70mm
400183,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 951,Steel,M16,60,Grade 10.21,Eye bolt M16 60mm
400184,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A345,Alloy steel,"5/16""",80,Grade A319,"Flange bolt 5/16"" 80mm"
400185,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.21,Brass,"5/8""",40,Grade 64,"U-bolt 5/8"" 40mm"
400186,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4034,Steel,M10,55,Grade 67,Hex bolt M10 55mm
400187,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.25,Stainless steel,M12,90,Grade A320,Carriage bolt M12 90mm
400188,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 951,Steel,M20,35,Grade 8,Eye bolt M20 35mm
400189,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4182,Alloy steel,M12,60,Grade 5,Flange bolt M12 60mm
400190,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.21,Brass,"3/4""",65,Grade 8,"U-bolt 3/4"" 65mm"
400191,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 952,Steel,M12,50,Grade 5,Eye bolt M12 50mm
400192,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A346,Alloy steel,M10,70,Grade 10.22,Flange bolt M10 70mm
400193,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.22,Brass,M16,35,Grade A320,U-bolt M16 35mm
400194,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4035,Steel,"5/16""",45,Grade 70,"Hex bolt 5/16"" 45mm"
400195,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.26,Stainless steel,"5/8""",70,Grade 73,"Carriage bolt 5/8"" 70mm"
400196,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 952,Steel,M10,60,Grade 10.22,Eye bolt M10 60mm
400197,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4183,Alloy steel,M12,80,Grade A320,Flange bolt M12 80mm
400198,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.22,Brass,M20,40,Grade 70,U-bolt M20 40mm
400199,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 953,Steel,M12,55,Grade 73,Eye bolt M12 55mm
400200,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A347,Alloy steel,"3/4""",90,Grade A321,"Flange bolt 3/4"" 90mm"
400201,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.23,Brass,M12,35,Grade 8,U-bolt M12 35mm
400202,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4036,Steel,M10,60,Grade 5,Hex bolt M10 60mm
400203,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.27,Stainless steel,M16,65,Grade 8,Carriage bolt M16 65mm
400204,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 953,Steel,"5/16""",50,Grade 5,"Eye bolt 5/16"" 50mm"
400205,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4184,Alloy steel,"5/8""",70,Grade 10.23,"Flange bolt 5/8"" 70mm"
400206,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.23,Brass,M10,35,Grade A321,U-bolt M10 35mm
400207,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 954,Steel,M12,45,Grade 76,Eye bolt M12 45mm
400208,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A348,Alloy steel,M20,70,Grade 79,Flange bolt M20 70mm
400209,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.24,Brass,M12,60,Grade 10.23,U-bolt M12 60mm
400210,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4037,Steel,"3/4""",80,Grade A321,"Hex bolt 3/4"" 80mm"
400211,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.28,Stainless steel,M12,40,Grade 76,Carriage bolt M12 40mm
400212,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 954,Steel,M10,55,Grade 79,Eye bolt M10 55mm
400213,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4185,Alloy steel,M16,90,Grade A322,Flange bolt M16 90mm
400214,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.24,Brass,"5/16""",35,Grade 8,"U-bolt 5/16"" 35mm"
400215,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 955,Steel,"5/8""",60,Grade 5,"Eye bolt 5/8"" 60mm"
400216,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A349,Alloy steel,M10,65,Grade 8,Flange bolt M10 65mm
400217,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.25,Brass,M12,50,Grade 5,U-bolt M12 50mm
400218,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4038,Steel,M20,70,Grade 10.24,Hex bolt M20 70mm
400219,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.29,Stainless steel,M12,35,Grade A322,Carriage bolt M12 35mm
400220,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 955,Steel,"3/4""",45,Grade 82,"Eye bolt 3/4"" 45mm"
400221,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4186,Alloy steel,M12,70,Grade 85,Flange bolt M12 70mm
400222,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.25,Brass,M10,60,Grade 10.24,U-bolt M10 60mm
400223,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 956,Steel,M16,80,Grade A322,Eye bolt M16 80mm
400224,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A350,Alloy steel,"5/16""",40,Grade 82,"Flange bolt 5/16"" 40mm"
400225,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.26,Brass,"5/8""",55,Grade 85,"U-bolt 5/8"" 55mm"
400226,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4039,Steel,M10,90,Grade A323,Hex bolt M10 90mm
400227,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.30,Stainless steel,M12,35,Grade 8,Carriage bolt M12 35mm
400228,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 956,Steel,M20,60,Grade 5,Eye bolt M20 60mm
400229,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4187,Alloy steel,M12,65,Grade 8,Flange bolt M12 65mm
400230,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.26,Brass,"3/4""",50,Grade 5,"U-bolt 3/4"" 50mm"
400231,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 957,Steel,M12,70,Grade 10.25,Eye bolt M12 70mm
400232,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A351,Alloy steel,M10,35,Grade A323,Flange bolt M10 35mm
400233,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.27,Brass,M16,45,Grade 88,U-bolt M16 45mm
400234,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4040,Steel,"5/16""",70,Grade 91,"Hex bolt 5/16"" 70mm"
400235,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.31,Stainless steel,"5/8""",60,Grade 10.25,"Carriage bolt 5/8"" 60mm"
400236,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 957,Steel,M10,80,Grade A323,Eye bolt M10 80mm
400237,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4188,Alloy steel,M12,40,Grade 88,Flange bolt M12 40mm
400238,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.27,Brass,M20,55,Grade 91,U-bolt M20 55mm
400239,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 958,Steel,M12,90,Grade A324,Eye bolt M12 90mm
400240,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A352,Alloy steel,"3/4""",35,Grade 8,"Flange bolt 3/4"" 35mm"
400241,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.28,Brass,M12,60,Grade 5,U-bolt M12 60mm
400242,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4041,Steel,M10,65,Grade 8,Hex bolt M10 65mm
400243,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.32,Stainless steel,M16,50,Grade 5,Carriage bolt M16 50mm
400244,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 958,Steel,"5/16""",70,Grade 10.26,"Eye bolt 5/16"" 70mm"
400245,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4189,Alloy steel,"5/8""",35,Grade A324,"Flange bolt 5/8"" 35mm"
400246,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.28,Brass,M10,45,Grade 94,U-bolt M10 45mm
400247,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 959,Steel,M12,70,Grade 97,Eye bolt M12 70mm
400248,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A353,Alloy steel,M20,60,Grade 10.26,Flange bolt M20 60mm
400249,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.29,Brass,M12,80,Grade A324,U-bolt M12 80mm
400250,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4042,Steel,"3/4""",40,Grade 94,"Hex bolt 3/4"" 40mm"
400251,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.33,Stainless steel,M12,55,Grade 97,Carriage bolt M12 55mm
400252,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 959,Steel,M10,90,Grade A325,Eye bolt M10 90mm
400253,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4190,Alloy steel,M16,35,Grade 8,Flange bolt M16 35mm
400254,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.29,Brass,"5/16""",60,Grade 5,"U-bolt 5/16"" 60mm"
400255,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 960,Steel,"5/8""",65,Grade 8,"Eye bolt 5/8"" 65mm"
400256,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A354,Alloy steel,M10,50,Grade 5,Flange bolt M10 50mm
400257,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.30,Brass,M12,70,Grade 10.27,U-bolt M12 70mm
400258,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4043,Steel,M20,35,Grade A325,Hex bolt M20 35mm
400259,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.34,Stainless steel,M12,45,Grade 100,Carriage bolt M12 45mm
400260,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 960,Steel,"3/4""",70,Grade 103,"Eye bolt 3/4"" 70mm"
400261,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4191,Alloy steel,M12,60,Grade 10.27,Flange bolt M12 60mm
400262,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.30,Brass,M10,80,Grade A325,U-bolt M10 80mm
400263,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 961,Steel,M16,40,Grade 100,Eye bolt M16 40mm
400264,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A355,Alloy steel,"5/16""",55,Grade 103,"Flange bolt 5/16"" 55mm"
400265,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.31,Brass,"5/8""",90,Grade A326,"U-bolt 5/8"" 90mm"
400266,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4044,Steel,M10,35,Grade 8,Hex bolt M10 35mm
400267,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.35,Stainless steel,M12,60,Grade 5,Carriage bolt M12 60mm
400268,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 961,Steel,M20,65,Grade 8,Eye bolt M20 65mm
400269,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4192,Alloy steel,M12,50,Grade 5,Flange bolt M12 50mm
400270,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.31,Brass,"3/4""",70,Grade 10.28,"U-bolt 3/4"" 70mm"
400271,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 962,Steel,M12,35,Grade A326,Eye bolt M12 35mm
400272,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A356,Alloy steel,M10,45,Grade 106,Flange bolt M10 45mm
400273,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.32,Brass,M16,70,Grade 109,U-bolt M16 70mm
400274,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4045,Steel,"5/16""",60,Grade 10.28,"Hex bolt 5/16"" 60mm"
400275,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.36,Stainless steel,"5/8""",80,Grade A326,"Carriage bolt 5/8"" 80mm"
400276,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 962,Steel,M10,40,Grade 106,Eye bolt M10 40mm
400277,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4193,Alloy steel,M12,55,Grade 109,Flange bolt M12 55mm
400278,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.32,Brass,M20,90,Grade A327,U-bolt M20 90mm
400279,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 963,Steel,M12,35,Grade 8,Eye bolt M12 35mm
400280,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A357,Alloy steel,"3/4""",60,Grade 5,"Flange bolt 3/4"" 60mm"
400281,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.33,Brass,M12,65,Grade 8,U-bolt M12 65mm
400282,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4046,Steel,M10,50,Grade 5,Hex bolt M10 50mm
400283,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.37,Stainless steel,M16,70,Grade 10.29,Carriage bolt M16 70mm
400284,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 963,Steel,"5/16""",35,Grade A327,"Eye bolt 5/16"" 35mm"
400285,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4194,Alloy steel,"5/8""",45,Grade 112,"Flange bolt 5/8"" 45mm"
400286,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.33,Brass,M10,70,Grade 115,U-bolt M10 70mm
400287,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 964,Steel,M12,60,Grade 10.29,Eye bolt M12 60mm
400288,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A358,Alloy steel,M20,80,Grade A327,Flange bolt M20 80mm
400289,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.34,Brass,M12,40,Grade 112,U-bolt M12 40mm
400290,Hex bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4047,Steel,"3/4""",55,Grade 115,"Hex bolt 3/4"" 55mm"
400291,Carriage bolt,ANSI,CE marked,Galvanized,Titan Bolts,ASME B18.38,Stainless steel,M12,90,Grade A328,Carriage bolt M12 90mm
400292,Eye bolt,ISO,RoHS compliant,Stainless steel,FastenAll,DIN 964,Steel,M10,35,Grade 8,Eye bolt M10 35mm
400293,Flange bolt,DIN,RoHS compliant,Black oxide,Nut & Bolt Solutions,ISO 4195,Alloy steel,M16,60,Grade 5,Flange bolt M16 60mm
400294,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.34,Brass,"5/16""",65,Grade 8,"U-bolt 5/16"" 65mm"
400295,Eye bolt,ISO,RoHS compliant,Galvanized,Titan Bolts,DIN 965,Steel,"5/8""",50,Grade 5,"Eye bolt 5/8"" 50mm"
400296,Flange bolt,ASTM,RoHS compliant,Stainless steel,FastenAll,ASTM A359,Alloy steel,M10,70,Grade 10.30,Flange bolt M10 70mm
400297,U-bolt,ANSI,CE marked,Zinc-plated,BoltWorks Co.,ASME B18.2.35,Brass,M12,35,Grade A328,U-bolt M12 35mm
